en,fr
"Since Canada has an abundant reserve of heavy water, it was decided that the facility would operate as a heavy water detector.","Comme le Canada dispose d'une réserve d'eau lourde abondante, on décide alors de construire un détecteur fonctionnant sur ce principe."
"The United States joined the project, follow by the United Kingdom in 1989.","Les États-Unis se joignent alors au projet, suivis du Royaume-Uni en 1989."
Work began in 1990 and was completed in 1999.,Les travaux débutent en 1990 et se terminent 1999.
"The detector consists of 1,000 tonnes of ultra pure heavy water enclosed in a transparent plastic vessel measuring 12 metres across.",Le détecteur est composé de 1000 tonnes d'eau lourde ultra-pure enfermée dans un récipient de plastique transparent de 12 mètres de diamètre.
"The vessel is itself enclosed in 7,000 tonnes of ultra pure normal water, lodged in an immense cavity measuring 22 metres wide and 34 metres high (the equivalent of a 10-storey building).",Le récipient est lui-même entouré de 7000 tonnes d'eau ordinaire ultra-pure logée dans une immense cavité de 22 mètres de largeur par 34 mètres de hauteur (soit l'équivalent d'un édifice de 10 étages).
It is the largest underground opening ever excavated at two kilometres depth.,Il s'agit de la plus grande cavité réalisée à deux kilomètres de profondeur au monde.
"The acrylic vessel is surrounded by a 17-metre geodesic dome equipped with 9,600 detectors that sense the presence of neutrinos.",À l'extérieur du récipient acrylique se retrouve une sphère géodésique de 17 mètres de diamètre munie de 9600 détecteurs qui décèlent la présence de neutrinos.
The frequency of neutrino detection is one per hour.,La fréquence de détection est de un neutrino à l'heure.
"The results from the Sudbury Neutrino Observatory have demonstrated that neutrinos do indeed change their form during their trip from the Sun to the Earth, thus putting an end to the debate.","Depuis sa mise en service, les résultats ont démontré que les neutrinos changent effectivement de forme lors de leur voyage du Soleil à la Terre, mettant ainsi fin à un vieux débat."
"Astronomers « Return to the observatories The Cosmic Background Imager An observatory for studying the oldest light ever emitted The Cosmic Background Imager was put into service in 2000 at Llano de Chajnantor, a high plateau in the Atacama Desert of northern Chile.","Astronomes « Retour aux observatoires L'Imageur du Rayonnement de Fond Cosmologique Un observatoire pour observer la plus ancienne lumière jamais émise L'Imageur du Rayonnement de Fond Cosmologique entre en service en 2000, à Llano de Chajnantor, un haut plateau situé dans le désert d'Atacama, au nord du Chili."
"It was the result of collaboration between the United States, Canada and Chile.","Il est le résultat d'une collaboration entre les États-Unis, le Canada et le Chili."
The Canadian Institute for Theoretical Astrophysics is responsible for Canada’s participation in the observatory.,L'Institut Canadien d'Astrophysique Théorique est responsable de la participation canadienne dans l'observatoire.
"The goal of the Imager is to make a map of the distribution of cosmic background radiation, microwave radiation that represents the aftermath of the Big Bang, the great explosion that gave birth to the Universe.","L'objectif de l'imageur est de dresser une carte de distribution du rayonnement de fond cosmologique, un rayonnement micro-onde qui fut produit à peine 400 000 ans après le Big Bang, au moment où l'Univers devenait transparent et lumineux."
The Imager is thus studying the oldest light energy ever emitted.,Il s'agit donc de la lumière la plus ancienne jamais émise.
"Mapping the distribution of this ancient light – this ancient radiation – effectively allows researchers to ""see"" what the Universe looked like very shortly after its birth.",Connaître sa distribution revient en quelque sorte à « voir » à quoi ressemblait l'Univers très peu de temps après sa naissance.
"This information is extremely important because it helps them better understand the creation, organization and evolution of large structures in the cosmos, such as galaxy clusters.","Cette information est précieuse pour les chercheurs car elle leur permet de mieux comprendre l'apparition, l'organisation et l'évolution des grandes structures du cosmos comme les amas de galaxies."
"The observatory’s telescope operates at wavelengths between 0.83 and 1.15 centimetres, which corresponds to the field of microwaves.","Le télescope de l'observatoire opère à des longueurs d'onde allant de 0,83 à 1,15 centimètres, c'est-à-dire précisément dans le domaine des micro-ondes."
It consists of 13 parabolic antennas mounted on a platform measuring six metres in diameter that can be pointed anywhere in the sky.,Il est constitué de 13 antennes paraboliques montées sur une plateforme de six mètres de diamètre qui peut être pointée n'importe où dans le ciel.
Each antenna is 90 centimetres across and is lodged in a protective cylinder sealed with a Teflon cover that can transmit microwaves.,Chaque antenne fait 90 centimètres de diamètre et loge dans un cylindre protecteur fermé d'un couvercle de Teflon laissant passer les micro-ondes.
"In 2002, the telescope detected a pattern in the distribution of background cosmic radiation that revealed structures much smaller than any observed to date.","En 2002, le télescope détecte une configuration dans la distribution du rayonnement de fond cosmologique révélant des structures beaucoup plus petites que toutes celles observées jusqu'à présent."
Researchers also detected a second pattern that could provide new information about the movement of matter shortly after the Big Bang.,Les chercheurs identifient également un autre type de configuration qui pourrait apporter de nouvelles informations sur le déplacement de la matière peu de temps après le Big Bang.
Astronomers « Return to the observatories The Odin Space Observatory An observatory that specializes in research about water and oxygen The Odin Space Observatory was launched into orbit in 2001.,Astronomes « Retour aux observatoires L'Observatoire Spatial Odin Un observatoire spécialisé dans la recherche d'eau et d'oxygène L'Observatoire Spatial Odin est placé en orbite en 2001.
"It is a Swedish satellite that was developed in collaboration with Canada, Finland and France; Canada’s contribution is 20%.","Il s'agit d'un satellite suédois mis au point en collaboration avec le Canada, la Finlande et la France."
"It is the first international satellite in which Canada played a major role in design, construction and operation.","C'est le premier satellite international dans lequel le Canada joue un rôle majeur dans la conception, la fabrication et l'opération."
The observatory is named after the Norwegian and Germanic god Odin.,L'observatoire doit son nom au dieu norvégien et germanique Odin.
"Its mission is twofold: the first objective focuses on aeronomy (the study of the atmosphere), and the second on astronomy.","Sa mission a deux objectifs : le premier est aéronomique (l'aéronomie concerne l'étude de l'atmosphère), le second est astronomique."
"The aeronomic goal is to study certain molecules that are found in Earth’s atmosphere – such as water, chlorine compounds and ozone – which can help us better understand the processes that cause thinning of the ozone layer.","L'objectif aéronomique est d'observer certaines molécules que l'on retrouve dans l'atmosphère terrestre comme l'eau, les chlorures et l'ozone qui pourraient nous aider à mieux comprendre les processus qui provoquent l'amincissement de la couche d'ozone."
"The goal in terms of astronomy is to detect specific molecules in comets, planets, stars, interstellar clouds and galaxies.","L'objectif astronomique est de détecter certaines molécules dans les comètes, les planètes, les étoiles, les nuages interstellaires et les galaxies."
"The molecules of greatest interest are water and oxygen, because these cannot be studied from Earth’s surface: our atmosphere blocks any radiation emitted by these molecules in space.",Les molécules les plus intéressantes sont l'eau et l'oxygène car elles ne peuvent être observées depuis la Terre parce que l'atmosphère terrestre bloque les radiations qu'elles émettent.
All together the satellite weighs 250 kilograms.,"En tout, le satellite pèse 250 kilogrammes."
Canada’s role in the project began in 1991 when informal discussions began with Sweden about a possible collaboration between the two countries.,"Le projet démarre pour le Canada en 1991, alors que des discussions informelles sont entamées avec la Suède sur une collaboration possible entre les deux pays."
An agreement was signed in 1994 that defined Canada’s role and the venture was launched.,"En 1994, un accord fixant la participation canadienne est signé et l'entreprise prend son envol."
"Canada provided several instruments, including OSIRIS, which are used to study specific gases and aerosols in Earth’s atmosphere for the aeronomic part of the mission.","Le Canada fournit plusieurs instruments dont OSIRIS, qui sert à étudier certains gaz et aérosols de l'atmosphère terrestre pour la partie de la mission consacrée à l'aéronomie."
"The launch was initially planned for 1997, but after several delays and postponements, it finally took place in 2001.","Le lancement est initialement prévu pour 1997, mais après plusieurs délais et reports, il n'a finalement lieu qu'en 2001."
"The predicted life expectancy for the observatory was two years (that is, until 2003), but the satellite is still functioning today.","La durée de vie prévue de l'observatoire était de deux ans (c'est-à-dire jusqu'en 2003) mais à l'heure actuelle, le satellite fonctionne toujours."
Astronomers « Return to the observatories The MOST Space Telescope The first space telescope entirely of Canadian designed and construction The MOST Space Telescope (which stands for Microvariability and Oscillation of Stars) was launched into space in 2003.,"Astronomes « Retour aux observatoires Le Télescope Spatial MOST Le premier télescope spatial entièrement conçu et construit au Canada Le télescope spatial MOST (pour Microvariability and Oscillation of STars ou Microvariabilité et Oscillation des Étoiles, en français) est lancé dans l'espace en 2003."
"There is a great interest for studying stellar vibrations because they allow scientists to obtain information about the internal structure of a star, and thus about its size, mass and composition.","L'intérêt d'étudier de telles vibrations est grand puisqu'il permet d'obtenir des informations sur la structure interne d'une étoile, donc, sur ses dimensions, sa masse et ses constituants."
"In 1997, the Canadian Space Agency agreed to finance the project and Jaymie Matthews was named Principal Investigator and Mission Scientist.","En 1997, l'Agence Spatiale Canadienne accepte de financer le projet et Jaymie Matthews est nommé chercheur principal et scientifique de mission."
"About the size and shape of a large suitcase, the satellite weighs only 54 kilograms and is equipped with an ultra high precision telescope that measures only 15 centimetres in diameter.","De la taille et de la forme d'une grosse valise, le satellite ne pèse que 54 kilogrammes et est doté d'un télescope ultra perfectionné d'à peine 15 centimètres de diamètre."
"Despite its diminutive size, it is ten times more sensitive than the Hubble Space Telescope in detecting the minuscule variations in a star’s luminosity caused by vibrations that shake its surface.","Pourtant, il est dix fois plus sensible que le télescope spatial Hubble pour détecter les minuscules variations de luminosité des étoiles dues aux vibrations qui secouent leur surface."
The telescope will complete one orbit around the Earth every 101 minutes by passing over each of Earth’s poles.,Le télescope effectue une orbite complète autour de la Terre à toutes les 101 minutes en passant par les deux pôles de la Terre.
It will spend 60 days on each star studied.,Il peut ainsi passer 60 jours à observer en continu la même étoile.
Its predicted life expectancy is 5 to 10 years.,Sa durée de vie devrait être de 5 à 10 ans.
The first major discovery made by the telescope occurred as soon as it became operational.,La première découverte majeure réalisée avec le télescope est faite au moment de sa mise en service en 2004.
"The discovery was that Procyon, one of the most studied stars, shows no pulsations at all, which contradicts 20 years of ideas and observations, and forced astronomers to rethink their models for stars.","Elle concerne Procyon, une des étoiles les plus étudiées par les astronomes : alors que l'on s'attend à voir l'astre vibrer, on constate qu'il n'en est rien."
"In 2005, MOST was responsible for another surprising discovery: it observed a giant planet that orbits so close to its host star that the star was forced to synchronize its rotation with that of the planet.","En 2005, MOST est responsable d'une seconde découverte étonnante : on observe pour la première fois une planète géante qui orbite si près de son étoile hôte que celle-ci se voit forcée de synchroniser sa rotation avec la planète."
"Normally, it is the other way around: a planet synchronizes its orbit with that of its host star.","D'ordinaire, ce sont les planètes qui synchronisent leur rotation avec leur étoile."
Video sequence  Jaymie Mark Matthews explains what MOST is.,Séquence vidéo  Jaymie Mark Matthews explique ce qu'est MOST.
"Astronomers « Return to the observatories The Atacama Large Millimeter Array What will be the largest submillimetre radio telescope in the world The Atacama Large Millimeter Array will be inaugurated in 2011 at Llano de Chajnantor, a high plateau in the Atacama Desert of northern Chile.","Astronomes « Retour aux observatoires Le Vaste Réseau d'Antennes Millimétriques d'Atacama Le futur plus grand radiotélescope submillimétrique au monde Le Vaste Réseau d'Antennes Millimétriques d'Atacama sera inauguré en 2011 à Llano de Chajnantor, un haut plateau situé dans le désert d'Atacama, au nord du Chili."
"The array should be usable for scientific purposes before its completion, starting in 2007.",Le réseau partiel pourra cependant être utilisé à partir de 2007 à des fins scientifiques.
"The creation of the array is the result of collaboration between Canada, the United States, Europe, Japan and Chile.","La création du réseau est née d'une collaboration entre le Canada, les États-Unis, l'Europe, le Japon et le Chili."
The National Research Council of Canada’s Herzberg Institute of Astrophysics is responsible for Canada’s participation in the radio telescope.,L'Institut Herzberg d'Astrophysique du Conseil National de Recherches du Canada est en charge de la participation canadienne dans le radiotélescope.
The array consists of 62 parabolic antennas measuring 12 metres across and spread out over 14 kilometres in the desert.,Le réseau comprendra 64 antennes paraboliques de 12 mètres de diamètre éparpillées sur 14 kilomètres dans le désert.
They will operate together to simulate a single radio telescope with a diameter of 14 kilometres.,Elles fonctionneront ensemble de façon à simuler un radiotélescope de 14 kilomètres de diamètre.
"The antennas will operate at wavelengths between 0.00035 and 10 millimetres: that is, from submillimetre wavelengths to the beginning of the microwave range.","Les antennes opèreront à des longueurs d'onde allant de 0,00035 à 10 millimètres ; c'est-à-dire à des longueurs d'onde se situant entre le submillimétrique et le début des micro-ondes."
"Canada will provide 64 ultra-sensitive receptors for the 3-millimetre wavelength range, as well as the image processing software for the radio telescope.",Le Canada fournira 64 récepteurs ultra sensibles pour la longueur d'onde de 3 millimètres et le logiciel de traitement de l'image du radiotélescope.
"The Atacama Large Millimeter Array will be used to study the formation of planets, stars, distant galaxies, galaxy clusters and interstellar matter.","Le Vaste Réseau d'Antennes Millimétriques d'Atacama sera utilisé pour étudier la formation des planètes, des étoiles, des galaxies éloignées, des amas galactiques et de la matière interstellaire."
Astronomers « Return to the observatories The James Webb Space Telescope The successor to the Hubble Space Telescope The James Webb Space Telescope will be launched into space at the beginning of the next decade.,Astronomes « Retour aux observatoires Le Télescope Spatial James Webb Le successeur du télescope spatial Hubble Le télescope spatial James Webb sera lancé dans l'espace au début de la prochaine décennie.
"However, it is too far to be repaired and maintained by astronauts, so its life span will only be 5 to 10 years.","En raison de son éloignement de la Terre, l'observatoire ne pourra être réparé et entretenu par des astronautes ; sa durée de vie sera donc de 5 à 10 ans."
"The observatory bears the name of James Edwin Webb, director of NASA from 1961 to 1968.","L'observatoire tire son nom de James Edwin Webb, qui fut directeur de la NASA de 1961 à 1968."
"It is the product of a collaborative effort between the United States, Canada and Europe.","Il est le fruit d'une collaboration entre les États-Unis, le Canada et l'Europe."
"John Hutchings, an astronomer with the Herzberg Institute of Astrophysics, is Canada’s Project Scientist.","L'astronome John Hutchings, de l'Institut Herzberg d'Astrophysique, est le scientifique de projet pour le Canada."
"At 6.5 metres in diameter, the mirror of the telescope will have a surface seven times greater than that of its predecessor, the Hubble Space Telescope (2.4-metre mirror).","Avec ses 6,5 mètres de diamètre, le miroir du télescope aura une surface sept fois plus grande que son prédécesseur Hubble (dont le miroir a 2,4 mètres)."
The mirror will consist of 18 small hexagonal mirrors that will deploy and fit together once the telescope is in orbit.,Le miroir sera fait de 18 petits miroirs hexagonaux qui se déploieront et s'emboîteront les uns dans les autres une fois le télescope en orbite.
"The entire observatory will weigh 6,600 kilograms.",L'observatoire entier pèsera 6600 kilogrammes.
"The telescope will operate at wavelengths between 28 thousandths to 6 millionths of a centimetre: that is, from the mid-range of the infrared to almost the beginning of visible red light (Hubble, in contrast, observes at ultraviolet, visible and near-infrared wavelengths).","Le télescope opérera à des longueurs d'onde allant de 28 milliers à 6 millionièmes de centimètres, c'est-à-dire de l'infrarouge moyen jusqu'à la limite de la lumière rouge visible (Hubble, quant à lui, opérait dans l'ultraviolet, le visible et l'infrarouge proche)."
"This range of wavelengths will make it possible to detect extrasolar planets, to conduct detailed studies into the formation of planets and stars, and to study the oldest galaxies lying at the edges of the Universe.","Cette gamme de longueurs d'onde rendra possible, entre autres, la détection de planètes extrasolaires, l'étude détaillée de la formation des planètes et des étoiles et l'observation des plus vielles galaxies situées aux confins de l'Univers."
Canadian researchers are also part of the American and European teams in charge of designing other instruments for the space telescope.,Des chercheurs canadiens font également partie d'équipes américaines et européennes chargées de concevoir d'autres instruments du télescope spatial.
Video sequence   René Doyon explains what the James Webb Space Telescope is.,Séquence vidéo  René Doyon explique ce qu'est le Télescope Spatial James Webb.
« Return to the observatories Previous © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,« Retour aux observatoires Précédent © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers Astronomers William Frederick King He raised Canadian astronomy to international stature,Astronomes Astronomes William Frederick King Il a hissé l'astronomie canadienne au niveau national et international
John Stanley Plaskett He laid the basic foundation for astrophysical research in Canada,John Stanley Plaskett Il a posé les bases de la recherche en astrophysique au Canada
Clarence Augustus Chant The Father  of Canadian astronomy,Clarence Augustus Chant Il est considéré comme le père de l'astronomie au Canada
Carlyle Smith Beals He expanded and developed astrophysics and geophysics in Canada,Carlyle Smith Beals Il a élargi et développé l'astrophysique et la géophysique au Canada
Gerhard Herzberg He helped make the National Research Council of Canada a world-renowned centre of excellence,Gerhard Herzberg Il a contribué à faire du Conseil National de Recherches du Canada un centre d'excellence de réputation mondiale
"Helen Sawyer Hogg A world expert in galaxy clusters and variable stars, she inspired many women to enter science and helped popularize astronomy in Canada","Helen Sawyer Hogg Experte mondiale des amas globulaires et de leurs étoiles variables, elle a inspiré de nombreuses femmes et a contribué à populariser l'astronomie au Canada"
"Andrew McKellar Known around the world as one of Canada’s best astronomers, he was the first to measure the temperature of the Universe","Andrew McKellar Reconnu mondialement comme l'un des plus grands astronomes canadiens, il a été le premier à mesurer la température de l'Univers"
"Arthur Edwin Covington As Canada’s first radio astronomer, he collected data on solar activity every day for more than thirty years; his work constitutes the world’s best database in the field","Arthur Edwin Covington Premier radioastronome canadien, il a collecté à chaque jour, pendant plus de trente ans, des données sur l'activité solaire, constituant ainsi la meilleure banque de données au monde en la matière"
"Anne Barbara Underhill A pioneer in the field of hot blue stars, she perfected sophisticated calculation techniques to better understand their atmospheres","Anne Barbara Underhill Pionnière de l'étude des étoiles bleues très chaudes, elle a mis au point des techniques sophistiquées de calcul pour mieux comprendre leurs atmosphères"
"Sidney van den Bergh A world expert in galaxy classification and the measurement of cosmic distances, he made several estimates of the size and age of the Universe","Sidney van den Bergh Expert mondial en classification des galaxies et en mesure des distances cosmiques, il a estimé à plusieurs reprises la taille et l'âge de l'Univers"
"Hubert Reeves A specialist in the origin of light elements and a highly talented popularizer of astronomy, he is often called ""the poet of the stars""","Hubert Reeves Spécialiste de l'origine des éléments légers et vulgarisateur émérite, il est souvent appelé le « poète des étoiles »"
"René Racine As an inventor of exceptional astronomical instruments, he played a key role in the creation of the Mont-Mégantic Observatory","René Racine Inventeur d'instruments astronomiques hors pair, il a joué un rôle de premier plan dans la création de l'Observatoire du Mont-Mégantic"
John Barrie Hutchings He was the first to discover a black hole outside our galaxy,John Barrie Hutchings Il est le premier à découvrir un trou noir situé hors de notre galaxie
Charles Thomas Bolton He was the first to discover a black hole,Charles Thomas Bolton Il est le premier à avoir découvert un trou noir
"Jean-René Roy Astrophysicist and current Director of the Gemini Astronomical Observatory, which owns two of the biggest telescopes in the world","Jean-René Roy Astrophysicien, il est présentement directeur de l'Observatoire Astronomique Gemini qui possède deux des plus grands télescopes au monde"
"Peter Gordon Martin A specialist in the study of interstellar matter, he was involved in numerous international research projects","Peter Gordon Martin Spécialiste de l'étude de la matière interstellaire, il est impliqué dans de nombreux projets de recherche internationaux"
Gilles Fontaine An asteroseismologist and world specialist in white dwarf stars,"Gilles Fontaine Astéroséismologue, il est le spécialiste mondial des étoiles naines blanches"
"John Richard Bond World expert in theoretical astrophysics and cosmology, he made Canada a leader in cosmology","John Richard Bond Leader mondial en astrophysique théorique et cosmologie, il a fait du Canada un chef de file en cosmologie"
"Scott Duncan Tremaine As a world expert in cosmic dynamics, he made several predictions that were subsequently confirmed by observation","Scott Duncan Tremaine Expert mondial en dynamique cosmique, il a fait plusieurs prédictions qui ont ensuite été confirmées par l'observation"
"Jaymie Mark Matthews Asteroseismologist, outstanding popularizer of astronomy, and mission scientist for MOST: the first Canadian space telescope","Jaymie Mark Matthews Astéroséismologue et vulgarisateur hors pair, il est le scientifique en chef du premier télescope spatial canadien, le satellite MOST"
Jack Newton Known for his world famous photographs,Jack Newton Ses photographies sont réputées dans le monde entier
"Damien Lemay An extraordinary amateur observer, he works at all levels to popularize amateur astronomy in Canada","Damien Lemay Observateur hors pair, il s'est impliqué à tous les niveaux pour faire connaître l'astronomie amateur au Canada"
"Paul Boltwood Renowned for his attention to detail, he took the best image of the deep sky ever obtained using amateur equipment","Paul Boltwood Reconnu pour son souci du détail, il est parvenu à réaliser la meilleure image du ciel profond jamais obtenue avec un équipement amateur"
"David Howard Levy Of Canadian origin, he is the most well known amateur astronomer in the world","David Howard Levy Canadien d'origine, il est actuellement l'astronome amateur le plus connu au monde"
The next generation,La relève
Astronomers « Return to the astronomers William Frederick King (1854-1916) He raised Canadian astronomy to international stature William Frederick King was born in 1854 at Stowmarket (Suffolk) in England.,"Astronomes « Retour aux astronomes William Frederick King (1854-1916) Il a hissé l'astronomie canadienne au niveau national et international William Frederick King naît en 1854 à Stowmarket (Suffolk), en Angleterre."
"His family immigrated to Canada in 1862 and settled down at Port Hope, Ontario.","Peu de temps après, en 1862, sa famille immigre au Canada et s'installe à Port Hope, en Ontario."
"In 1875, he obtained his bachelor’s degree with high distinctions from the University of Toronto, and he also earned the university’s gold medal in mathematics.","En 1875, il obtient son baccalauréat avec haute distinction de l'Université de Toronto, où il décroche la médaille d'or de l'université en mathématiques."
He spent his free time at the university performing complex mathematical calculations for personal amusement.,"Toute sa vie durant, il occupera d'ailleurs ses temps libres à effectuer des calculs mathématiques complexes pour le plaisir."
"Later during his career, the University of Toronto awarded him an honorary doctoral degree for his work in astronomy in 1904.","En 1904, l'Université de Toronto lui décerne un doctorat honorifique pour ses travaux en astronomie."
King published many scientific articles on astronomy.,King publie plusieurs articles scientifiques en astronomie.
"Without doubt, the most significant was his classic article The Geometry of Orbits in which he described a new method for calculating the orbits of binary stars.","Le plus important est sans doute « La géométrie des orbites », un article devenu un classique dans lequel il décrit une nouvelle méthode pour calculer les orbites d'étoiles binaires."
The relative obscurity of his scientific career is more than compensated by his famous achievements as astronomer and administrator for the Canadian Government.,"Si sa carrière scientifique passe presque inaperçue, il en est tout autrement du rôle majeur qu'il joue en tant qu'astronome et administrateur au sein du gouvernement canadien."
"It was under his guidance that astronomy really took off in Canada, developing first at the national scale and then rising to international stature.",C'est en effet sous sa gouverne que l'astronomie canadienne prend son véritable envol et se développe au niveau national et international.
King entered the Canadian Government as a land surveyor and topographer in 1872 at the age of 18.,"King entre au service du gouvernement canadien en tant qu'arpenteur-géomètre et topographe en 1872, à l'âge de 18 ans."
He worked on federal lands in western Canada where his knowledge of astronomy was an asset during mapping as it allowed him to determine the longitudes and latitudes of many locations.,"Il travaille sur les terres fédérales de l'ouest du pays où ses connaissances en astronomie sont misent à profit en cartographie, dans la détermination des longitudes et latitudes de nombreux lieux."
He rose step by step through the government echelons until his nomination as Chief Inspector of Surveys for the Department of the Interior in 1886.,"Il gravit petit à petit les échelons au sein du gouvernement, jusqu'à sa nomination en tant qu'inspecteur en chef de l'arpentage au Ministère de l'Intérieur en 1886."
"In 1887, King began to pressure the government into creating a federal astronomical observatory.","En 1887, King commence à faire pression au sein du gouvernement pour la création d'un observatoire astronomique fédéral."
"In 1890, he founded the Astronomy Division of the Department of the Interior with the help of Edward Gaston Daniel Deville and Otto Julius Klotz.","En 1890, il fonde, avec l'aide de Edward Gaston Daniel Deville et Otto Julius Klotz, la Division d'Astronomie du Ministère de l'Intérieur et en devient le chef la même année."
He became its first director that same year and built a small wooden observatory on Cliff Street.,"Toujours en 1890, à Ottawa, il construit un petit observatoire astronomique en bois sur la rue Cliff."
"King was nominated seven times as Commissioner of the International Boundary Commission between 1892 and 1908, and he thus helped establish the Canadian-American border.","Entre 1892 et 1908, King est nommé à sept reprises commissaire à la frontière internationale où il aide à fixer la frontière canado-américaine."
The world longitude network across the Pacific Ocean was also completed under his direction.,Le réseau mondial de longitudes de l'océan Pacifique est également complété sous sa direction.
"In 1908, he was named Companion of the Order of St. Michael and St. George for his work.",Il sera d'ailleurs fait Compagnon de l'Ordre de Saint-Michel et Saint-Georges pour ses travaux en 1908.
"In 1900, he became founding president of the Ottawa Centre for the Royal Astronomical Society of Canada, a position he maintained until his death in 1916.","En 1900, il devient président fondateur du Centre d'Ottawa de la Société Royale d'Astronomie du Canada, position qu'il conserve jusqu'à sa mort en 1916."
His efforts to create a large and permanent astronomical observatory bore fruit in 1905 with the inauguration of the Dominion Observatory in Ottawa.,Ses efforts pour créer un véritable observatoire astronomique aboutissent en 1905 avec l'inauguration de l'Observatoire Fédéral à Ottawa.
The observatory was equipped with 38-centimetre astronomical telescope and King became its first director.,L'observatoire est équipé d'une lunette astronomique de 38 centimètres et King en devient le premier directeur.
"In 1909, he succeeded where many before him had tried and failed: he founded the Geodetic Survey Division of Canada and became its first director.","En 1909, il réussit là où plusieurs avaient échoué et fonde la Division des Levés géodésiques du Canada, dont il sera le premier directeur."
"Using a variety of methods, including astronomical measurements, the Division managed to precisely determine the position and elevation of many reference points throughout the country, which greatly assisted in the making of geographic maps.","Grâce aux travaux de la Division, qui utilise entre autres des méthodes de mesures astronomiques, la position et l'altitude de plusieurs points de repère sont déterminées avec précision sur le territoire canadien, ce qui facilite la création des cartes géographiques."
"In 1910, only five years after the creation of the Dominion Observatory in Ottawa, King was in charge of the Dominion Astrophysical Observatory near Victoria, British Columbia, but died before its inauguration.","En 1910, soit à peine cinq ans après la création de l'Observatoire Fédéral à Ottawa, il dirige le projet de construction de l'Observatoire Fédéral d'Astrophysique à Victoria, en Colombie-Britannique, mais meurt avant son inauguration."
"In 1911, King was elected President of the Royal Society of Canada, the highest scientific distinction in Canada at the time.","En 1911, King est élu président de la Société Royale du Canada, la plus haute distinction scientifique du Canada à l'époque."
He passed away in Ottawa in 1916 at 62 years old.,"Il meurt à Ottawa en 1916, à l'âge de 62 ans."
« Return to the astronomers Next © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,« Retour aux astronomes Suivant © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
"Astronomers « Return to the astronomers John Stanley Plaskett (1865-1941) He laid the basic foundation for astrophysical research in Canada John Stanley Plaskett was born in 1865 on a farm in Hickson, Ontario.","Astronomes « Retour aux astronomes John Stanley Plaskett (1865-1941) Il a posé les bases de la recherche en astrophysique au Canada John Stanley Plaskett naît en 1865 sur une ferme, à Hickson, en Ontario."
He began working at the Edison Company (which later become General Electric) in 1886 where he gained experience in mechanics and electricity.,"En 1886, il travaille à la compagnie Edison (qui deviendra plus tard la compagnie General Electric), où il acquiert de l'expérience en mécanique et en électricité."
"Determined to obtain a university education, he enrolled in the bachelor’s program in 1895 and earned his diploma four years later in 1899 at the age of 33.","Déterminé à obtenir une formation universitaire, il s'inscrit en 1895 aux cours de baccalauréat et décroche son diplôme quatre ans plus tard, en 1899 ; il a alors 33 ans."
Plaskett received four honorary doctoral degrees from Canadian and American universities during his career.,"Au cours de sa carrière, Plaskett recevra quatre doctorats honorifiques d'universités canadiennes et américaines."
"After obtaining his bachelor’s degree, Plaskett taught as a lecturer in the physics department at the University of Toronto.","Après l'obtention de son baccalauréat, Plaskett enseigne comme chargé de cours au département de physique de l'Université de Toronto."
"In 1903, William Frederick King hired him as part of the Astronomy Division of the Department of the Interior to help design and construct instruments for the new Dominion Observatory in Ottawa.","En 1903, William Frederick King l'engage à la Division d'Astronomie du Ministère de l'Intérieur pour l'aider dans la conception et la construction d'instruments pour le nouvel Observatoire Fédéral d'Ottawa."
"Plaskett became an invaluable addition to the team thanks to his experience in electricity, mechanics and photography.","Il fournit une aide inestimable grâce à son expérience en électricité, en mécanique et en photographie."
Plaskett made his first real foray into astronomy in 1905 at the age of 39.,"Plaskett fait ses véritables débuts en astronomie en 1905, à l'âge de 39 ans."
William Frederick King assigned him the responsibility of astrophysical work at the Dominion Observatory.,William Frederick King lui confie alors la recherche en astrophysique à l'Observatoire Fédéral.
"During his first research project, he was responsible for studying a total eclipse of the Sun that would be visible from Labrador.","Lors de son premier projet de recherche, il est responsable des observations d'une éclipse totale du Soleil qui est visible au Labrador."
"In 1907, after working for two years on a new spectroscope of his own design, Plaskett attached it to the telescope of the Dominion Observatory.","Malgré un ciel nuageux qui empêche d'observer l'éclipse, Plaskett impressionne par le soin qu'il apporte à préparer ses observations et à rédiger son rapport scientifique."
"He mainly used it to measure the radial velocities of stars (the speed at which the star is moving away or toward the observer), and managed to collect several thousand spectrograms over the following years.","En 1907, après deux ans de travail, il dote la lunette astronomique de l'Observatoire Fédéral d'un nouveau spectroscope de sa conception et entreprend principalement de mesurer la vitesse radiale des étoiles (c'est-à-dire la vitesse à laquelle les étoiles s'approchent ou s'éloignent de nous)."
"It quickly became evident, however, that the observatory’s 38-centimetre telescope was not efficient enough for the purpose.","Au cours des années qui suivent, plusieurs milliers de spectrogrammes sont collectés, mais il devient rapidement évident que la lunette astronomique de 38 centimètres n'est pas suffisamment efficace."
"In 1910, Plaskett proposed to William Frederick King that a new giant telescope be constructed.","En 1910, il en parle à William Frederick King et lui propose de construire un nouveau télescope géant."
